user_id,created_at,updated_at,years_of_experience,license_number,verification_status,clinic_name,clinic_address
90eb3e7b-f41c-4a4b-8c38-4e1fdd494625,2025-12-10 04:36:08+05:30,2026-11-02 04:36:08+05:30,4,LIC-10433-IVGR,pending,"Mcclain, Miller and Henderson","89083 Robinson Radial, Lisatown, WV 21427"
ab00f09a-961f-4f18-a33c-de48f647f918,2025-11-05 13:37:53+05:30,2026-03-25 13:37:53+05:30,8,LIC-65423-WVGF,pending,Davis-Abbott,"781 Miller Hill, Barbaraland, AZ 87174"
9c5f19b6-fb57-42f7-89c5-3723df2eeecf,2025-12-23 09:17:07+05:30,2026-02-13 09:17:07+05:30,22,LIC-34131-YRDO,approved,Martin-Kelly,"283 Steven Groves, Lake Mark, WI 07832"
108d09bd-6322-45a5-b818-6fba17b0feae,2025-12-13 04:25:41+05:30,2026-09-18 04:25:41+05:30,3,LIC-30564-ENKT,approved,Lewis-Porter,"42388 Burgess Meadow Suite 532, Daviston, VI 14872"
d3672c90-7498-458e-bae5-107047be90b9,2025-11-24 17:10:55+05:30,2025-12-10 17:10:55+05:30,1,LIC-22691-YYMD,pending,"King, Tran and Dunlap","845 Kelly Estate, Smithview, NY 23917"
ca7d720e-b9ad-429a-a3b2-2f261be63377,2025-12-19 14:02:10+05:30,2026-04-17 14:02:10+05:30,17,LIC-81489-MJXW,approved,Ryan PLC,"PSC 9570, Box 1543, APO AE 32072"
e1f78bef-ce85-4769-98b6-de1b27cb6da8,2025-11-26 16:42:23+05:30,2026-09-09 16:42:23+05:30,7,LIC-91171-WIXI,approved,Keller PLC,"83465 Lam Mission Apt. 331, Andrewside, IN 77629"
77f715d4-3aac-4c0d-a667-76d61bd80438,2025-12-11 21:27:52+05:30,2026-12-05 21:27:52+05:30,18,LIC-30103-ECVE,pending,"Young, Caldwell and Lewis","76311 Gomez Loop Suite 010, Chandlerville, IA 25613"
eaa53b6b-3254-45ce-98e1-cdcff4902e27,2025-12-16 03:10:12+05:30,2026-08-02 03:10:12+05:30,19,LIC-38726-LRDP,pending,Ramos PLC,"32677 Michelle Circle, South Aaron, MS 35261"
d35fb2a9-f2a9-4ba5-a4b3-ce692b618eb5,2025-12-06 11:45:31+05:30,2025-12-09 11:45:31+05:30,25,LIC-74687-JMSN,approved,Riley PLC,"09788 Brian Pass Apt. 219, Lake Michellefurt, DE 75169"
2fd2992b-4aaf-465d-9275-58d7c64be943,2025-11-13 04:20:54+05:30,2026-11-05 04:20:54+05:30,14,LIC-39909-FAQL,pending,"Mills, Donovan and Harris","6247 Hickman Cliffs, South Christineshire, CT 10103"
bd16e903-546f-4600-9b0b-b9963b0005a0,2025-12-10 03:43:48+05:30,2026-02-27 03:43:48+05:30,7,LIC-83842-WEPX,rejected,Moore-Bass,"841 Joseph Coves, West Juan, IL 94559"
78bfa72a-9717-4b59-9d16-b4cabbe35353,2025-11-14 03:42:33+05:30,2026-05-05 03:42:33+05:30,4,LIC-53487-QDFO,pending,Calderon-Williams,"427 Hoffman Creek, Lake Rebeccaside, AZ 48894"
7ceec18f-046f-4f42-a725-8d483cf89be8,2025-12-06 19:19:36+05:30,2026-01-24 19:19:36+05:30,12,LIC-98262-CTXY,approved,Nolan and Sons,"8692 Michelle Union, South Angel, WA 44041"
074714b9-ebc2-4c65-ad3a-fdd916d9d755,2025-12-17 17:46:47+05:30,2026-10-22 17:46:47+05:30,9,LIC-63421-YCEO,approved,Velasquez Group,"03654 Tammy Harbors, Darlenefurt, TX 70783"
a89bce67-778b-410a-ad59-6aa98feefe85,2025-12-11 16:29:49+05:30,2026-08-03 16:29:49+05:30,18,LIC-50142-LQCG,pending,"Hamilton, Chandler and Edwards","9340 Smith Valley, West Ryan, TN 43780"
7ef347ed-b783-4249-a927-199b01ec6f7f,2025-12-10 19:44:53+05:30,2026-06-21 19:44:53+05:30,3,LIC-95148-TQAU,approved,Terry-Spencer,"299 Sullivan Village Apt. 443, Floydmouth, NH 58406"
86dad2ca-f9a0-4cdb-911c-11eeae1e7488,2025-11-14 10:00:52+05:30,2026-10-01 10:00:52+05:30,20,LIC-73872-QFSG,rejected,"Schultz, Rogers and Cardenas","32003 Carr Trafficway Apt. 769, Lake Heather, NM 52884"
44d6761c-1a52-4653-a243-5cc042d8acbd,2025-12-16 06:17:10+05:30,2026-06-19 06:17:10+05:30,19,LIC-32016-OLZS,pending,"Marshall, Grant and Lowery","8895 Salazar Stravenue, Rivasside, NV 21362"
8db57fb8-e753-49ce-995f-7543ba380a4a,2025-11-04 19:10:26+05:30,2025-12-09 19:10:26+05:30,2,LIC-77434-XXHF,approved,"Allen, Gonzales and Reeves","8122 Patrick Drives Apt. 166, Amychester, AR 27611"
c9d23a99-d844-4204-9787-30421b141479,2025-11-07 01:34:45+05:30,2026-04-04 01:34:45+05:30,3,LIC-66909-YEAW,approved,Molina-Castaneda,"USCGC Medina, FPO AP 72083"
467c082c-641c-4118-8f18-38a0a9927c1a,2025-11-11 12:23:56+05:30,2026-01-01 12:23:56+05:30,13,LIC-93734-BFBY,pending,Caldwell-Yates,"98069 Christopher Meadow Apt. 720, Nicholasborough, NH 43341"
7a975c28-d470-424e-ab84-16d8dec4566e,2025-11-19 20:22:47+05:30,2026-10-10 20:22:47+05:30,27,LIC-56464-FEBV,pending,"Williams, Crane and Walker","33092 David Skyway, New Staciemouth, UT 34087"
b56c778a-84a2-4620-ba61-9f8d83ec3c1c,2025-12-14 07:40:42+05:30,2026-06-21 07:40:42+05:30,12,LIC-52991-XKTG,pending,"Johnson, Collins and Byrd","USCGC David, FPO AE 10462"
d97b9ecb-f233-446a-8d57-02757374cf10,2025-11-28 01:49:30+05:30,2026-04-13 01:49:30+05:30,23,LIC-93149-ZHYK,rejected,Reed Group,"506 Garcia Lake, Zimmermanchester, HI 96681"
68902659-e583-490c-be59-10be7014a249,2025-12-14 14:56:35+05:30,2026-11-10 14:56:35+05:30,3,LIC-84987-DBUL,approved,Morris-Sanchez,"USNV Keith, FPO AE 98867"
ba687250-5b7c-47a7-9a04-6bfb50b7fef2,2025-12-24 04:13:25+05:30,2026-03-21 04:13:25+05:30,18,LIC-79965-BFUL,approved,Lewis-Salinas,"083 John Lodge Suite 837, Westtown, CO 39067"
511b4bcd-e366-4d97-9df1-4245377782d8,2025-12-14 05:51:55+05:30,2026-03-07 05:51:55+05:30,15,LIC-36349-XEJH,pending,Coleman-Reese,"4431 Leslie Summit Apt. 337, Jennyhaven, PA 37594"
67a62a78-4d75-4db9-a527-df7935f4f627,2025-12-02 02:22:48+05:30,2026-10-25 02:22:48+05:30,23,LIC-13435-LTAT,approved,"Martinez, Williams and Brown","710 Harrison Mill, Jackton, KS 63117"
38bde97d-80e8-4701-b20f-e01ee3d629df,2025-12-17 18:55:45+05:30,2026-12-02 18:55:45+05:30,11,LIC-11671-KORD,approved,Hernandez PLC,"USS Mcknight, FPO AE 73648"
138365a1-4261-4aa6-b670-6d38b429c2db,2025-12-11 02:36:38+05:30,2026-01-08 02:36:38+05:30,8,LIC-69993-XHYC,approved,Evans-Chapman,"133 Guerrero Estate, East Andrea, GA 00851"
64e3fffe-bd04-4947-83c0-baf6adf95fa2,2025-12-02 13:53:01+05:30,2026-05-12 13:53:01+05:30,13,LIC-67974-COST,pending,Warner-Gibson,"936 Amy Rue Apt. 421, East Laurashire, PW 38329"
c518f06f-c19b-45f1-a064-99f999c408f7,2025-11-08 20:52:44+05:30,2026-02-24 20:52:44+05:30,30,LIC-71746-RGIF,rejected,Miller-Williams,"401 Suzanne Villages Apt. 490, South April, NV 36959"
88d5e895-830b-48d3-b6f2-94e61d53186a,2025-11-12 20:53:38+05:30,2026-04-22 20:53:38+05:30,7,LIC-29671-EWAV,approved,Santiago-Hodge,"6807 Leonard Islands Apt. 680, Gutierrezborough, NC 47920"
2f42945c-b752-49e4-a61b-163125c195ac,2025-12-07 09:11:30+05:30,2026-06-27 09:11:30+05:30,29,LIC-97703-RJIS,rejected,Gilmore-Washington,"248 Andrea Course, Port Robin, NH 15897"
